Centro,Tipologia,Id encuesta,Total Encuestas,Total Completas,Total Parciales,Nuevas Completas Hoy,Nuevas Parciales Hoy,Nuevas Completas D-1,Nuevas Parciales D-1,Nuevas Completas D-2,Nuevas Parciales D-2,Nuevas Completas D-3,Nuevas Parciales D-3,Nuevas Completas D-4,Nuevas Parciales D-4,Nuevas Completas D-5,Nuevas Parciales D-5,Nuevas Completas D-6,Nuevas Parciales D-6,Nuevas Completas D-7,Nuevas Parciales D-7,Nuevas Completas D-8,Nuevas Parciales D-8,Nuevas Completas D-9,Nuevas Parciales D-9,Nuevas Completas D-10,Nuevas Parciales D-10,Nuevas Completas D-11,Nuevas Parciales D-11,Nuevas Completas D-12,Nuevas Parciales D-12,Nuevas Completas D-13,Nuevas Parciales D-13,Nuevas Completas D-14,Nuevas Parciales D-14,Nuevas Completas D-15,Nuevas Parciales D-15,Nuevas Completas D-16,Nuevas Parciales D-16,Nuevas Completas D-17,Nuevas Parciales D-17,Nuevas Completas D-18,Nuevas Parciales D-18,Nuevas Completas D-19,Nuevas Parciales D-19,Nuevas Completas D-20,Nuevas Parciales D-20,Nuevas Completas D-21,Nuevas Parciales D-21,Nuevas Completas D-22,Nuevas Parciales D-22,Nuevas Completas D-23,Nuevas Parciales D-23,Nuevas Completas D-24,Nuevas Parciales D-24,Nuevas Completas D-25,Nuevas Parciales D-25,Nuevas Completas D-26,Nuevas Parciales D-26,Nuevas Completas D-27,Nuevas Parciales D-27,Nuevas Completas D-28,Nuevas Parciales D-28,Nuevas Completas D-29,Nuevas Parciales D-29
IES SAN ROSENDO,Secundaria,928697,75,63,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0,0,1,34,3,12,4,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,
IES SAN ROSENDO,Profesorado,369327,12,9,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,1,1,0,2,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,
CEIP EMPERADOR FERNANDO,Primaria,487931,57,53,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,26,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
CEIP EMPERADOR FERNANDO,Secundaria,538769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
CEIP EMPERADOR FERNANDO,Profesorado,241699,31,29,2,0,0,1,0,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
JADO IKASTETXEA,Primaria,197973,95,70,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32,20,37,5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
JADO IKASTETXEA,Secundaria,597246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
JADO IKASTETXEA,Profesorado,766668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
IES ESTEBAN MANUEL DE VILLEGAS,Primaria,991497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
IES ESTEBAN MANUEL DE VILLEGAS,Secundaria,185553,287,230,57,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,29,5,35,24,35,2,41,9,88,12,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
IES ESTEBAN MANUEL DE VILLEGAS,Profesorado,664163,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
CEIP ANTONIO MONZÓN,Primaria,581119,113,79,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,5,0,1,1,1,36,20,29,6,,,,,,,,,,,,,,,,,,,,,,,,
CEIP ANTONIO MONZÓN,Secundaria,634623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
CEIP ANTONIO MONZÓN,Profesorado,751299,36,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,30,2,0,0,0,0,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,
CEIP A LAMA,Primaria,714212,23,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
CEIP A LAMA,Secundaria,549784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
CEIP A LAMA,Profesorado,876779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
CEIP FRANCISCO DE GOYA,Primaria,822489,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,
CEIP FRANCISCO DE GOYA,Secundaria,487165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
