Centro,Tipologia,Id encuesta,Total Encuestas,Total Completas,Total Parciales,Nuevas Completas Hoy,Nuevas Parciales Hoy,Nuevas Completas D-1,Nuevas Parciales D-1,Nuevas Completas D-2,Nuevas Parciales D-2,Nuevas Completas D-3,Nuevas Parciales D-3,Nuevas Completas D-4,Nuevas Parciales D-4,Nuevas Completas D-5,Nuevas Parciales D-5,Nuevas Completas D-6,Nuevas Parciales D-6,Nuevas Completas D-7,Nuevas Parciales D-7,Nuevas Completas D-8,Nuevas Parciales D-8,Nuevas Completas D-9,Nuevas Parciales D-9
CIFP SIMÓN DE COLONIA,Secundaria,251553,71,56,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,15
CIFP SIMÓN DE COLONIA,Profesorado,298119,21,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9
CC SAN AGUSTÍN,Primaria,482241,109,87,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,22
CC SAN AGUSTÍN,Secundaria,554534,353,301,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,52
CC SAN AGUSTÍN,Profesorado,466476,47,32,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,15
IES LOS SALADOS,Primaria,737618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IES LOS SALADOS,Secundaria,773432,49,34,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,15
IES LOS SALADOS,Profesorado,196376,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
IES José del Campo,Primaria,663965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IES José del Campo,Secundaria,276426,347,263,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,84
IES José del Campo,Profesorado,727766,14,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4
IES LAS SALINAS,Primaria,542764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IES LAS SALINAS,Secundaria,951831,239,201,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,38
IES LAS SALINAS,Profesorado,511246,17,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8
CEIP HERMANOS TORA,Primaria,725919,127,118,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,9
CEIP HERMANOS TORA,Secundaria,937246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEIP HERMANOS TORA,Profesorado,718979,30,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7
CPES MENESIANO,Primaria,151494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPES MENESIANO,Secundaria,576194,185,141,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,44
CPES MENESIANO,Profesorado,884498,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
IES COSME GARCÍA,Primaria,326827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IES COSME GARCÍA,Secundaria,992185,359,258,101,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,257,98
IES COSME GARCÍA,Profesorado,376787,47,14,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,33
CEIP MESTRE DURAN,Primaria,195584,39,36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,3
CEIP MESTRE DURAN,Secundaria,711729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEIP MESTRE DURAN,Profesorado,361412,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
 IES FEDERICO GARCÍA LORCA,Primaria,813384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 IES FEDERICO GARCÍA LORCA,Secundaria,673715,568,436,132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,131
 IES FEDERICO GARCÍA LORCA,Profesorado,611419,39,22,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,17
CEIP MAESTRO JUAN MOREJÓN,Primaria,537543,42,36,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,6
CEIP MAESTRO JUAN MOREJÓN,Secundaria,222773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEIP MAESTRO JUAN MOREJÓN,Profesorado,581645,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
 CEIP PINAR HONDO,Primaria,531566,85,74,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,11
 CEIP PINAR HONDO,Secundaria,282149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CEIP PINAR HONDO,Profesorado,921964,13,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5
COLEGIO CLARET ,Primaria,897697,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
COLEGIO CLARET ,Secundaria,497298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COLEGIO CLARET ,Profesorado,837447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPEIPS SAGRADO CORAZÓN,Primaria,729157,60,45,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,15
CPEIPS SAGRADO CORAZÓN,Secundaria,914212,993,824,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,824,169
