Centro,Tipologia,Id encuesta,Total Encuestas,Total Completas,Total Parciales,Nuevas Completas Hoy,Nuevas Parciales Hoy,Nuevas Completas D-1,Nuevas Parciales D-1,Nuevas Completas D-2,Nuevas Parciales D-2
CPIFP MARISTAK DURANGO LHIPI,Primaria,614128,0,0,0,0,0,0,0,0,0
CPIFP MARISTAK DURANGO LHIPI,Secundaria,368886,120,109,11,0,0,0,0,0,0
CPIFP MARISTAK DURANGO LHIPI,Profesorado,824571,37,29,8,0,0,0,0,0,0
ESCOLA GUINARDÓ,Primaria,456676,123,100,23,0,0,0,0,0,0
ESCOLA GUINARDÓ,Secundaria,288541,339,114,225,0,0,0,0,0,0
ESCOLA GUINARDÓ,Profesorado,232496,17,10,7,0,0,0,0,0,0
NSTITUT CAN VILURAMA,Primaria,412365,0,0,0,0,0,0,0,0,0
NSTITUT CAN VILURAMA,Secundaria,957493,518,334,184,0,0,0,0,0,0
CPEIPS Sagrado Corazón HLBHIP,Primaria,186744,185,96,89,0,0,0,0,0,0
CPEIPS Sagrado Corazón HLBHIP,Profesorado,696531,19,10,9,0,0,0,0,0,0
CPEIPS LA SALLE HLBHIP DONOSTIA,Primaria,696318,0,0,0,0,0,0,0,0,0
CPEIPS LA SALLE HLBHIP DONOSTIA,Secundaria,356813,412,317,95,0,0,0,0,0,0
CPEIPS LA SALLE HLBHIP DONOSTIA,Profesorado,993927,9,7,2,0,0,0,0,0,0
CEIP NUESTRA SEÑORA DEL ROSARIO,Primaria,126459,0,0,0,0,0,0,0,0,0
CEIP NUESTRA SEÑORA DEL ROSARIO,Secundaria,751784,0,0,0,0,0,0,0,0,0
CEIP NUESTRA SEÑORA DEL ROSARIO,Profesorado,143391,0,0,0,0,0,0,0,0,0
CPI PARQUE VENECIA,Primaria,852451,79,71,8,0,0,0,0,0,0
CPI PARQUE VENECIA,Secundaria,255873,0,0,0,0,0,0,0,0,0
CPI PARQUE VENECIA,Profesorado,578862,12,7,5,0,0,0,0,0,0
CEIP CASTRA CAECILIA ,Primaria,562343,43,32,11,0,0,0,0,0,0
CEIP CASTRA CAECILIA ,Secundaria,947278,0,0,0,0,0,0,0,0,0
CEIP CASTRA CAECILIA ,Profesorado,765996,1,1,0,0,0,0,0,0,0
IES MARIO ROSO DE LUNA,Primaria,393293,0,0,0,0,0,0,0,0,0
IES MARIO ROSO DE LUNA,Secundaria,846329,196,165,31,0,0,0,0,0,0
IES MARIO ROSO DE LUNA,Profesorado,624345,20,13,7,0,0,0,0,0,0
CEIP ZAMUDIO,Primaria,861973,56,41,15,0,0,0,0,0,0
CEIP ZAMUDIO,Secundaria,942754,0,0,0,0,0,0,0,0,0
CEIP ZAMUDIO,Profesorado,633712,3,2,1,0,0,0,0,0,0
COLEGIO CHAMBERÍ MARISTAS ,Primaria,633171,0,0,0,0,0,0,0,0,0
COLEGIO CHAMBERÍ MARISTAS ,Secundaria,236594,650,128,522,0,0,0,0,0,0
COLEGIO CHAMBERÍ MARISTAS ,Profesorado,199458,27,14,13,0,0,0,0,0,0
IES LA SENDA,Primaria,524165,0,0,0,0,0,0,0,0,0
IES LA SENDA,Secundaria,441751,363,312,51,0,0,0,0,0,0
IES LA SENDA,Profesorado,462937,35,22,13,0,0,0,0,0,0
CEIP EL SOL,Primaria,626459,84,64,20,0,0,0,0,0,0
CEIP EL SOL,Secundaria,552365,0,0,0,0,0,0,0,0,0
CEIP EL SOL,Profesorado,141145,0,0,0,0,0,0,0,0,0
CEIP ANSELMO PÉREZ BRITO,Primaria,783979,27,27,0,0,0,0,0,0,0
CEIP ANSELMO PÉREZ BRITO,Secundaria,793225,0,0,0,0,0,0,0,0,0
CEIP ANSELMO PÉREZ BRITO,Profesorado,363483,12,10,2,0,0,0,0,0,0
IES SANTA EMERENCIANA,Primaria,732185,0,0,0,0,0,0,0,0,0
IES SANTA EMERENCIANA,Secundaria,755964,129,113,16,0,0,0,0,0,0
IES SANTA EMERENCIANA,Profesorado,596879,2,1,1,0,0,0,0,0,0
ES LEITZA AMAZABAL BHI,Primaria,764955,0,0,0,0,0,0,0,0,0
ES LEITZA AMAZABAL BHI,Secundaria,359679,361,240,121,0,0,0,0,0,0
ES LEITZA AMAZABAL BHI,Profesorado,622782,18,10,8,0,0,0,0,0,0
CPR PLURILÍNGÜE SANTA MARÍA,Primaria,917764,124,95,29,0,0,0,0,0,0
CPR PLURILÍNGÜE SANTA MARÍA,Secundaria,429233,280,243,37,0,0,0,0,0,0
CPR PLURILÍNGÜE SANTA MARÍA,Profesorado,723613,34,10,24,0,0,0,0,0,0
CPEIPS SAN PATRICIO HLBHIP,Primaria,396232,50,48,2,0,0,0,0,0,0
CPEIPS SAN PATRICIO HLBHIP,Secundaria,433551,313,248,65,0,0,0,0,0,0
CPEIPS SAN PATRICIO HLBHIP,Profesorado,485637,13,6,7,0,0,0,0,0,0
CPR COLEGIO MONTEPINAR,Primaria,655117,108,91,17,0,0,0,0,0,0
CPR COLEGIO MONTEPINAR,Secundaria,133773,335,271,64,0,0,0,0,0,0
CPR COLEGIO MONTEPINAR,Profesorado,568412,14,9,5,0,0,0,0,0,0
CEIP FRANCISCO RODRÍGUEZ PERERA,Primaria,816353,65,35,30,0,0,0,0,0,0
CEIP FRANCISCO RODRÍGUEZ PERERA,Secundaria,956621,0,0,0,0,0,0,0,0,0
CEIP FRANCISCO RODRÍGUEZ PERERA,Profesorado,745486,26,19,7,0,0,0,0,0,0
IES FLORIDABLANCA,Primaria,665245,0,0,0,0,0,0,0,0,0
IES FLORIDABLANCA,Secundaria,751617,0,0,0,0,0,0,0,0,0
IES FLORIDABLANCA,Profesorado,228539,34,21,13,0,0,0,0,0,0
CEIP LOS NEGRALES,Primaria,257951,41,32,9,0,0,0,0,0,0
CEIP LOS NEGRALES,Secundaria,347865,0,0,0,0,0,0,0,0,0
CEIP LOS NEGRALES,Profesorado,156182,6,3,3,0,0,0,0,0,0
COLEGIO NTRA. SRA. DE LA VICTORIA (MARISTAS MÁLAGA),Primaria,558879,43,40,3,0,0,0,0,0,0
COLEGIO NTRA. SRA. DE LA VICTORIA (MARISTAS MÁLAGA),Secundaria,779337,223,176,47,0,0,0,0,0,0
COLEGIO NTRA. SRA. DE LA VICTORIA (MARISTAS MÁLAGA),Profesorado,348116,22,19,3,0,0,0,0,0,0
CEIP DULCE CHACÓN,Primaria,422344,131,80,51,0,0,0,0,0,0
CEIP DULCE CHACÓN,Secundaria,676476,0,0,0,0,0,0,0,0,0
CEIP DULCE CHACÓN,Profesorado,455532,8,4,4,0,0,0,0,0,0
C.E.I.P. PEDRO DE VALENCIA,Primaria,721146,96,77,19,0,0,0,0,0,0
C.E.I.P. PEDRO DE VALENCIA,Secundaria,346968,0,0,0,0,0,0,0,0,0
C.E.I.P. PEDRO DE VALENCIA,Profesorado,788352,0,0,0,0,0,0,0,0,0
COLEGIO SAGRADA FAMILIA,Primaria,753399,22,8,14,0,0,0,0,0,0
COLEGIO SAGRADA FAMILIA,Secundaria,415138,0,0,0,0,0,0,0,0,0
COLEGIO SAGRADA FAMILIA,Profesorado,748533,0,0,0,0,0,0,0,0,0
COLEGIO SAN JOSÉ DEL PARQUE,Primaria,346973,170,112,58,0,0,0,0,0,0
COLEGIO SAN JOSÉ DEL PARQUE,Secundaria,746724,497,440,57,0,0,0,0,0,0
COLEGIO SAN JOSÉ DEL PARQUE,Profesorado,987219,71,46,25,0,0,0,0,0,0
IES GINÉS PÉREZ CHIRINOS,Primaria,423266,0,0,0,0,0,0,0,0,0
IES GINÉS PÉREZ CHIRINOS,Secundaria,996568,108,94,14,0,0,0,0,0,0
IES GINÉS PÉREZ CHIRINOS,Profesorado,422459,2,2,0,0,0,0,0,0,0
CEIP NTRA. SRA. DE LA PEÑA,Primaria,288824,29,28,1,0,0,0,0,0,0
CEIP NTRA. SRA. DE LA PEÑA,Secundaria,488481,0,0,0,0,0,0,0,0,0
CEIP NTRA. SRA. DE LA PEÑA,Profesorado,882214,8,4,4,0,0,0,0,0,0
COLEGIO MARISTAS GIRONA,Primaria,718685,92,88,4,0,0,0,0,0,0
COLEGIO MARISTAS GIRONA,Secundaria,941156,56,51,5,0,0,0,0,0,0
COLEGIO MARISTAS GIRONA,Profesorado,659651,0,0,0,0,0,0,0,0,0
CEIP MAESTRO JOSÉ ACOSTA,Primaria,245734,149,132,17,0,0,0,0,0,0
CEIP MAESTRO JOSÉ ACOSTA,Secundaria,282569,0,0,0,0,0,0,0,0,0
CEIP MAESTRO JOSÉ ACOSTA,Profesorado,678515,0,0,0,0,0,0,0,0,0
COLEGIO LA SALLE CÓRDOBA,Primaria,457971,162,125,37,0,0,0,0,0,0
COLEGIO LA SALLE CÓRDOBA,Secundaria,799225,512,273,239,0,0,0,0,0,0
COLEGIO LA SALLE CÓRDOBA,Profesorado,618619,9,6,3,0,0,0,0,0,0
CEIP EL TORREÓN,Primaria,746851,18,18,0,0,0,0,0,0,0
CEIP EL TORREÓN,Secundaria,245157,0,0,0,0,0,0,0,0,0
CEIP EL TORREÓN,Profesorado,616946,0,0,0,0,0,0,0,0,0
COLEGIO COMPAÑÍA DE ALMERÍA,Primaria,243761,45,40,5,0,0,0,0,0,0
COLEGIO COMPAÑÍA DE ALMERÍA,Secundaria,827658,0,0,0,0,0,0,0,0,0
COLEGIO COMPAÑÍA DE ALMERÍA,Profesorado,713615,1,1,0,0,0,0,0,0,0
CEIP JOXEMIEL BARANDIARAN ESKOLA HLHI,Primaria,895526,48,43,5,0,0,0,0,0,0
CEIP JOXEMIEL BARANDIARAN ESKOLA HLHI,Secundaria,145889,0,0,0,0,0,0,0,0,0
CEIP JOXEMIEL BARANDIARAN ESKOLA HLHI,Profesorado,733674,9,2,7,0,0,0,0,0,0
CEIP SAN ROQUE,Primaria,497956,81,78,3,0,0,0,0,0,0
CEIP SAN ROQUE,Secundaria,153375,0,0,0,0,0,0,0,0,0
CEIP SAN ROQUE,Profesorado,141177,21,13,8,0,0,0,0,0,0
IES ORIXE BHI,Primaria,151537,0,0,0,0,0,0,0,0,0
IES ORIXE BHI,Secundaria,257658,495,365,130,0,0,0,0,0,0
IES ORIXE BHI,Profesorado,433333,21,12,9,0,0,0,0,0,0
LAURO IKASTOLA,Primaria,618997,282,243,39,0,0,0,0,0,0
LAURO IKASTOLA,Secundaria,836782,510,412,98,0,0,0,0,0,0
LAURO IKASTOLA,Profesorado,381796,14,11,3,0,0,0,0,0,0
COLEGIO LA SALLE FELIPE BENITO,Primaria,899586,51,49,2,0,0,0,0,0,0
COLEGIO LA SALLE FELIPE BENITO,Secundaria,213592,226,205,21,0,0,0,0,0,0
COLEGIO LA SALLE FELIPE BENITO,Profesorado,219312,27,27,0,0,0,0,0,0,0
COLEGIO SAN JUAN BOSCO,Primaria,358548,80,58,22,0,0,0,0,0,0
COLEGIO SAN JUAN BOSCO,Secundaria,117385,313,252,61,0,0,0,0,0,0
COLEGIO SAN JUAN BOSCO,Profesorado,265219,25,17,8,0,0,0,0,0,0
OLABIDE IKASTOLA,Primaria,963292,85,68,17,0,0,0,0,0,0
OLABIDE IKASTOLA,Secundaria,412236,117,84,33,0,0,0,0,0,0
OLABIDE IKASTOLA,Profesorado,665341,22,7,15,0,0,0,0,0,0
IES MAIMÓNIDES,Primaria,436634,0,0,0,0,0,0,0,0,0
IES MAIMÓNIDES,Secundaria,452196,69,37,32,0,0,0,0,0,0
IES MAIMÓNIDES,Profesorado,846519,4,2,2,0,0,0,0,0,0
IES TIERRA DE BARROS,Primaria,731818,0,0,0,0,0,0,0,0,0
IES TIERRA DE BARROS,Secundaria,238883,127,108,19,0,0,0,0,0,0
IES TIERRA DE BARROS,Profesorado,544471,17,11,6,0,0,0,0,0,0
COLEGIO JESUITINAS PAMPLONA (HIJAS DE JESÚS),Primaria,634836,2,0,2,0,0,0,0,0,0
COLEGIO JESUITINAS PAMPLONA (HIJAS DE JESÚS),Secundaria,551324,2,0,2,0,0,0,0,0,0
COLEGIO JESUITINAS PAMPLONA (HIJAS DE JESÚS),Profesorado,615229,15,9,6,1,0,0,0,0,0
IES JOSEP MARÍA QUADRADO,Primaria,529298,0,0,0,0,0,0,0,0,0
IES JOSEP MARÍA QUADRADO,Secundaria,855991,447,320,127,0,0,0,0,0,0
IES JOSEP MARÍA QUADRADO,Profesorado,486967,62,38,24,0,0,0,0,0,0
COLEGIO ANTONIO MACHADO,Primaria,416716,0,0,0,0,0,0,0,0,0
COLEGIO ANTONIO MACHADO,Secundaria,152278,113,72,41,0,0,0,0,0,0
COLEGIO ANTONIO MACHADO,Profesorado,417111,8,6,2,0,0,0,0,0,0
IES GREGORIO PRIETO,Primaria,878233,0,0,0,0,0,0,0,0,0
IES GREGORIO PRIETO,Secundaria,725518,2,0,2,0,0,0,0,0,0
IES GREGORIO PRIETO,Profesorado,757289,0,0,0,0,0,0,0,0,0
AGORA PORTALS INTERNATIONAL SCHOOL,Primaria,518835,102,72,30,0,0,0,0,0,0
AGORA PORTALS INTERNATIONAL SCHOOL,Secundaria,746325,251,178,73,0,0,0,0,0,0
AGORA PORTALS INTERNATIONAL SCHOOL,Profesorado,376361,1,1,0,0,0,0,0,0,0
COOP. SOM ESCOLA,Primaria,441959,0,0,0,0,0,0,0,0,0
COOP. SOM ESCOLA,Secundaria,628769,18,16,2,0,0,0,0,0,0
COOP. SOM ESCOLA,Profesorado,851187,0,0,0,0,0,0,0,0,0
IES SANGÜESA SIERRA DE LEYRE,Primaria,283327,0,0,0,0,0,0,0,0,0
IES SANGÜESA SIERRA DE LEYRE,Secundaria,635436,233,187,46,0,0,0,0,0,0
IES SANGÜESA SIERRA DE LEYRE,Profesorado,846343,2,2,0,0,0,0,0,0,0
IES LUÍS BUÑUEL,Primaria,314671,0,0,0,0,0,0,0,0,0
IES LUÍS BUÑUEL,Secundaria,116148,77,59,18,0,0,0,0,0,0
IES LUÍS BUÑUEL,Profesorado,415843,0,0,0,0,0,0,0,0,0
IES JOSEP MIQUEL GUÀRDIA,Primaria,261131,0,0,0,0,0,0,0,0,0
IES JOSEP MIQUEL GUÀRDIA,Secundaria,844482,508,409,99,0,0,0,0,0,0
IES JOSEP MIQUEL GUÀRDIA,Profesorado,577835,58,37,21,0,0,0,0,0,0
CEIP JOAN VENI I CLAR,Primaria,698616,95,62,33,0,0,0,0,0,0
CEIP JOAN VENI I CLAR,Secundaria,747464,0,0,0,0,0,0,0,0,0
CEIP JOAN VENI I CLAR,Profesorado,323243,4,4,0,0,0,0,0,0,0
IES ISIDORM MACAGICH,Primaria,433376,0,0,0,0,0,0,0,0,0
IES ISIDORM MACAGICH,Secundaria,868612,291,272,19,0,0,0,0,0,0
IES ISIDORM MACAGICH,Profesorado,114942,43,29,14,0,0,0,0,0,0
IES BAJO CINCA- FRAGA,Primaria,586682,0,0,0,0,0,0,0,0,0
IES BAJO CINCA- FRAGA,Secundaria,923628,336,274,62,0,0,0,0,0,0
IES BAJO CINCA- FRAGA,Profesorado,191517,31,18,13,0,0,0,0,0,0
IES CIUDAD DE LOS ÁNGELES,Primaria,435269,0,0,0,0,0,0,0,0,0
IES CIUDAD DE LOS ÁNGELES,Secundaria,936153,117,106,11,0,0,0,0,0,0
IES CIUDAD DE LOS ÁNGELES,Profesorado,193733,1,0,1,0,0,0,0,0,0
COLEGIO MADRE DE DIOS,Primaria,958488,1,0,1,0,0,0,0,0,0
COLEGIO MADRE DE DIOS,Secundaria,638184,49,42,7,0,0,0,0,0,0
COLEGIO MADRE DE DIOS,Profesorado,161371,1,0,1,0,0,0,0,0,0
CP PALACIO VALDÉS,Primaria,929591,42,39,3,0,0,0,0,0,0
CP PALACIO VALDÉS,Secundaria,791426,0,0,0,0,0,0,0,0,0
CP PALACIO VALDÉS,Profesorado,313739,4,4,0,0,0,0,0,0,0
IES AVEMPACE,Primaria,671756,0,0,0,0,0,0,0,0,0
IES AVEMPACE,Secundaria,526448,178,153,25,0,0,0,0,0,0
IES AVEMPACE,Profesorado,648553,56,27,29,0,0,0,0,0,0
CPR PLURILINGÜE CRISTO REY,Primaria,992128,0,0,0,0,0,0,0,0,0
CPR PLURILINGÜE CRISTO REY,Secundaria,958828,381,307,74,0,0,0,0,0,0
CPR PLURILINGÜE CRISTO REY,Profesorado,782651,13,11,2,0,0,0,0,0,0
CEIP SIERRA DE HUÉTOR,Primaria,562919,26,24,2,0,0,0,0,0,0
CEIP SIERRA DE HUÉTOR,Secundaria,511951,0,0,0,0,0,0,0,0,0
CEIP SIERRA DE HUÉTOR,Profesorado,657579,2,1,1,0,0,0,0,0,0
IES SAN PEDRO DE ALCÁNTARA,Primaria,927957,0,0,0,0,0,0,0,0,0
IES SAN PEDRO DE ALCÁNTARA,Secundaria,488553,110,82,28,0,0,0,0,0,0
IES SAN PEDRO DE ALCÁNTARA,Profesorado,674237,16,8,8,0,0,0,0,0,0
COLEGIO PONCE DE LEÓN,Primaria,412614,20,18,2,0,0,0,0,0,0
COLEGIO PONCE DE LEÓN,Secundaria,595419,121,79,42,0,0,0,0,0,0
COLEGIO PONCE DE LEÓN,Profesorado,175188,15,10,5,0,0,0,0,0,0
ESCOLA MONTSENY,Primaria,723574,60,52,8,0,0,0,0,0,0
ESCOLA MONTSENY,Secundaria,824232,0,0,0,0,0,0,0,0,0
ESCOLA MONTSENY,Profesorado,894362,0,0,0,0,0,0,0,0,0
SEK INTERNATIONAL SCHOOL ALBORÁN,Primaria,398567,0,0,0,0,0,0,0,0,0
SEK INTERNATIONAL SCHOOL ALBORÁN,Secundaria,173693,0,0,0,0,0,0,0,0,0
SEK INTERNATIONAL SCHOOL ALBORÁN,Profesorado,461289,0,0,0,0,0,0,0,0,0
IES COLONOS,Primaria,679233,0,0,0,0,0,0,0,0,0
IES COLONOS,Secundaria,444125,260,175,85,0,0,0,0,0,0
IES COLONOS,Profesorado,176564,17,14,3,0,0,0,0,0,0
IES CELSO DÍAZ,Primaria,671315,0,0,0,0,0,0,0,0,0
IES CELSO DÍAZ,Secundaria,622892,224,195,29,0,0,0,0,0,0
IES CELSO DÍAZ,Profesorado,531478,11,5,6,0,0,0,0,0,0
ESCOLA PIA D'IGUALADA,Primaria,746535,47,44,3,0,0,0,0,0,0
ESCOLA PIA D'IGUALADA,Secundaria,372377,298,218,80,0,0,0,0,0,1
ESCOLA PIA D'IGUALADA,Profesorado,529212,0,0,0,0,0,0,0,0,0
COLEGIO LA SALLE FIGUERES,Primaria,877861,86,77,9,0,0,0,0,0,0
COLEGIO LA SALLE FIGUERES,Secundaria,891462,282,206,76,0,0,0,0,0,0
COLEGIO LA SALLE FIGUERES,Profesorado,623662,25,9,16,0,0,0,0,0,0
COLEGIO SAN RAFAEL VILLAVICIOSA,Primaria,736547,16,12,4,0,0,0,0,0,0
COLEGIO SAN RAFAEL VILLAVICIOSA,Secundaria,415831,55,49,6,0,0,0,0,0,0
COLEGIO SAN RAFAEL VILLAVICIOSA,Profesorado,684787,3,3,0,0,0,0,0,0,0
ESCOLA PÍA DE SITGES,Primaria,344289,0,0,0,0,0,0,0,0,0
ESCOLA PÍA DE SITGES,Secundaria,679647,27,22,5,0,0,0,0,0,0
ESCOLA PÍA DE SITGES,Profesorado,357146,20,3,17,0,0,0,0,0,0
COLEGIO URKIDE,Primaria,733864,0,0,0,0,0,0,0,0,0
COLEGIO URKIDE,Secundaria,349361,8,3,5,0,0,0,0,0,0
COLEGIO URKIDE,Profesorado,656452,0,0,0,0,0,0,0,0,0
ESCOLA MARCEL·LÍ DOMINGO,Primaria,665344,25,16,9,0,0,0,0,0,0
ESCOLA MARCEL·LÍ DOMINGO,Secundaria,616529,0,0,0,0,0,0,0,0,0
ESCOLA MARCEL·LÍ DOMINGO,Profesorado,386462,11,9,2,0,0,0,0,0,0
INTERNATIONAL SCHOOL SEK EL CASTILLO,Primaria,626943,0,0,0,0,0,0,0,0,0
INTERNATIONAL SCHOOL SEK EL CASTILLO,Secundaria,471567,0,0,0,0,0,0,0,0,0
INTERNATIONAL SCHOOL SEK EL CASTILLO,Profesorado,273181,0,0,0,0,0,0,0,0,0
COLEGIO MARISTAS AUSEVA,Primaria,813314,1,0,1,0,0,0,0,0,0
COLEGIO MARISTAS AUSEVA,Secundaria,441124,270,206,64,0,0,0,0,0,0
COLEGIO MARISTAS AUSEVA,Profesorado,395384,25,20,5,0,0,0,0,0,0
COLEGIO SAGRADA FAMILIA - EL PILAR,Primaria,442511,40,34,6,0,0,0,0,0,0
COLEGIO SAGRADA FAMILIA - EL PILAR,Secundaria,395341,145,137,8,0,0,0,0,0,0
COLEGIO SAGRADA FAMILIA - EL PILAR,Profesorado,163524,21,21,0,0,0,0,0,0,0
CPIFP PIRÁMIDE,Primaria,537448,0,0,0,0,0,0,0,0,0
CPIFP PIRÁMIDE,Secundaria,693292,58,39,19,0,0,0,0,0,0
CPIFP PIRÁMIDE,Profesorado,729128,4,2,2,0,0,0,0,0,0
INSTITUT J.V. FOIX,Primaria,422755,0,0,0,0,0,0,0,0,0
INSTITUT J.V. FOIX,Secundaria,825453,105,77,28,0,0,0,0,0,0
INSTITUT J.V. FOIX,Profesorado,537172,13,6,7,0,0,0,0,0,0
INSTITUT MARTA MATA,Primaria,555564,0,0,0,0,0,0,0,0,0
INSTITUT MARTA MATA,Secundaria,985214,400,270,130,0,0,0,0,0,0
INSTITUT MARTA MATA,Profesorado,159573,15,11,4,0,0,0,0,0,0
CP PEDRO PENZOL,Primaria,493751,25,22,3,0,0,0,0,0,0
CP PEDRO PENZOL,Secundaria,173489,0,0,0,0,0,0,0,0,0
CP PEDRO PENZOL,Profesorado,254368,13,13,0,0,0,0,0,0,0
YAGO SCHOOL,Primaria,563793,82,70,12,0,0,0,0,0,0
YAGO SCHOOL,Secundaria,782458,207,185,22,0,0,0,0,0,0
YAGO SCHOOL,Profesorado,566587,51,37,14,0,0,0,0,0,0
CAMPUS DOCENTE SAN JOAN DE DEU,Primaria,213383,0,0,0,0,0,0,0,0,0
CAMPUS DOCENTE SAN JOAN DE DEU,Secundaria,797449,147,118,29,0,0,0,0,0,0
CAMPUS DOCENTE SAN JOAN DE DEU,Profesorado,175553,3,2,1,0,0,0,0,0,0
ESCOLA DOLORS MONSERÁ-SANTAPAU,Primaria,256259,99,79,20,0,0,0,0,0,0
ESCOLA DOLORS MONSERÁ-SANTAPAU,Secundaria,848897,0,0,0,0,0,0,0,0,0
ESCOLA DOLORS MONSERÁ-SANTAPAU,Profesorado,266663,14,6,8,0,0,0,0,0,0
ST. MARY`S SCHOOL,Primaria,252772,0,0,0,0,0,0,0,0,0
ST. MARY`S SCHOOL,Secundaria,181972,60,52,8,0,0,0,0,0,0
ST. MARY`S SCHOOL,Profesorado,993443,70,49,21,0,0,0,0,0,0
COLEGIO MARE DE DÉU DELS DOLORS,Primaria,473846,0,0,0,0,0,0,0,0,0
COLEGIO MARE DE DÉU DELS DOLORS,Secundaria,187983,267,212,55,0,0,0,0,0,0
COLEGIO MARE DE DÉU DELS DOLORS,Profesorado,457437,21,11,10,0,0,0,0,0,0
COLEGIO LA SALLE L'ALCORA,Primaria,839717,43,35,8,0,0,0,0,0,0
COLEGIO LA SALLE L'ALCORA,Secundaria,311954,57,52,5,0,0,0,0,0,0
COLEGIO LA SALLE L'ALCORA,Profesorado,119121,18,16,2,0,0,0,0,0,0
COLEGIO RAMÓN PONT,Primaria,497656,60,45,15,0,0,0,0,0,0
COLEGIO RAMÓN PONT,Secundaria,118855,24,21,3,0,0,0,0,0,0
COLEGIO RAMÓN PONT,Profesorado,993668,0,0,0,0,0,0,0,0,0
COLEGIO MARISTES CHAMPAGNAT,Primaria,856755,77,63,14,0,0,0,0,0,0
COLEGIO MARISTES CHAMPAGNAT,Secundaria,254615,290,210,80,0,0,0,0,0,0
COLEGIO MARISTES CHAMPAGNAT,Profesorado,852196,3,1,2,0,0,0,0,0,0
COLEGIO MARISTES LA INMACULADA,Primaria,851435,0,0,0,0,0,0,0,0,0
COLEGIO MARISTES LA INMACULADA,Secundaria,859454,255,187,68,0,0,0,0,0,0
COLEGIO MARISTES LA INMACULADA,Profesorado,761361,8,5,3,0,0,0,0,0,0
CP EL QUIRINAL,Primaria,511857,136,123,13,0,0,0,0,0,0
CP EL QUIRINAL,Secundaria,951865,0,0,0,0,0,0,0,0,0
CP EL QUIRINAL,Profesorado,955575,14,6,8,0,0,0,0,0,0
IES JOSÉ MARTÍN RECUERDA,Primaria,685781,0,0,0,0,0,0,0,0,0
IES JOSÉ MARTÍN RECUERDA,Secundaria,299994,263,199,64,0,0,0,0,0,0
IES JOSÉ MARTÍN RECUERDA,Profesorado,146316,10,5,5,0,0,0,0,0,0
COLEGIO QUERCUS,Primaria,425262,2,0,2,0,0,0,0,0,0
COLEGIO QUERCUS,Secundaria,368415,2,1,1,0,0,0,0,0,0
COLEGIO QUERCUS,Profesorado,181431,0,0,0,0,0,0,0,0,0
EGILUZE IKASTETXEA HONDARRIBIA,Primaria,841773,0,0,0,0,0,0,0,0,0
EGILUZE IKASTETXEA HONDARRIBIA,Secundaria,936658,86,78,8,0,0,0,0,0,0
EGILUZE IKASTETXEA HONDARRIBIA,Profesorado,823872,5,4,1,0,0,0,0,0,0
IES PIO BAROJA BHI,Primaria,774241,0,0,0,0,0,0,0,0,0
IES PIO BAROJA BHI,Secundaria,563863,454,383,71,0,0,0,0,0,0
IES PIO BAROJA BHI,Profesorado,276677,48,10,38,0,0,0,0,0,0
ESCOLA COLONIA GÜELL,Primaria,229228,49,42,7,0,0,0,0,0,0
ESCOLA COLONIA GÜELL,Secundaria,683836,0,0,0,0,0,0,0,0,0
ESCOLA COLONIA GÜELL,Profesorado,757377,0,0,0,0,0,0,0,0,0
CEIP CASTILLO DE ANZUR,Primaria,656466,0,0,0,0,0,0,0,0,0
CEIP CASTILLO DE ANZUR,Secundaria,518645,5,0,5,0,0,0,0,0,0
CEIP CASTILLO DE ANZUR,Profesorado,825488,0,0,0,0,0,0,0,0,0
CPEIPS La Salle Bilbao HLBHIP,Primaria,213789,184,159,25,0,0,0,0,0,0
CPEIPS La Salle Bilbao HLBHIP,Secundaria,453422,474,414,60,0,0,0,0,0,0
CPEIPS La Salle Bilbao HLBHIP,Profesorado,288787,27,20,7,0,0,0,0,0,0
CEIP PINODUERO,Primaria,685671,41,36,5,0,0,0,0,0,0
CEIP PINODUERO,Secundaria,326756,0,0,0,0,0,0,0,0,0
CEIP PINODUERO,Profesorado,878967,22,10,12,0,0,0,0,0,0
CEIP MEDITERRÁNEO (MELILLA),Primaria,822172,25,16,9,0,0,0,0,0,0
CEIP MEDITERRÁNEO (MELILLA),Secundaria,526758,0,0,0,0,0,0,0,0,0
CEIP MEDITERRÁNEO (MELILLA),Profesorado,689825,4,2,2,0,0,0,0,0,0
COLEGIO SAN JUAN BOSCO (SALESIANAS SALAMANCA),Primaria,272445,116,101,15,0,0,0,0,0,0
COLEGIO SAN JUAN BOSCO (SALESIANAS SALAMANCA),Secundaria,567792,245,210,35,0,0,0,0,0,0
COLEGIO SAN JUAN BOSCO (SALESIANAS SALAMANCA),Profesorado,294246,63,30,33,0,0,0,0,0,0
COLEGIO LA SALLE - PALENCIA,Primaria,652187,136,92,44,0,0,0,0,0,0
COLEGIO LA SALLE - PALENCIA,Secundaria,581824,343,147,196,0,0,0,0,0,0
COLEGIO LA SALLE - PALENCIA,Profesorado,371893,29,20,9,0,0,0,0,0,0
INSTITUT SAMUEL GILI I GAYA,Primaria,378373,0,0,0,0,0,0,0,0,0
INSTITUT SAMUEL GILI I GAYA,Secundaria,432642,205,158,47,0,0,0,1,0,0
INSTITUT SAMUEL GILI I GAYA,Profesorado,995334,12,7,5,0,0,0,0,0,0
CC TOTHEDUCATIU,Primaria,975915,0,0,0,0,0,0,0,0,0
