Centro,Tipologia,Id encuesta,Total Encuestas,Total Completas,Total Parciales,Nuevas Completas Hoy,Nuevas Parciales Hoy,Nuevas Completas D-1,Nuevas Parciales D-1,Nuevas Completas D-2,Nuevas Parciales D-2
 CEIP PINAR HONDO,Secundaria,282149,0,0,0,0,0,0,0,0,0
 CEIP PINAR HONDO,Profesorado,921964,13,8,5,0,0,0,0,0,0
COLEGIO CLARET ,Primaria,897697,1,0,1,0,0,0,0,0,0
COLEGIO CLARET ,Secundaria,497298,0,0,0,0,0,0,0,0,0
COLEGIO CLARET ,Profesorado,837447,0,0,0,0,0,0,0,0,0
CPEIPS SAGRADO CORAZÓN,Primaria,729157,60,45,15,0,0,0,0,0,0
CPEIPS SAGRADO CORAZÓN,Secundaria,914212,994,824,170,0,0,0,0,0,0
CPEIPS SAGRADO CORAZÓN,Profesorado,787933,153,100,53,0,0,0,0,0,0
IES DOCTOR LLUÍS SIMARRO LACABRA,Primaria,642363,0,0,0,0,0,0,0,0,0
IES DOCTOR LLUÍS SIMARRO LACABRA,Secundaria,473452,278,236,42,0,0,0,0,0,0
IES DOCTOR LLUÍS SIMARRO LACABRA,Profesorado,782998,20,11,9,0,0,0,0,0,0
COLEGIO SAN JOSÉ FUNDACIÓN LOYOLA,Primaria,131371,0,0,0,0,0,0,0,0,0
COLEGIO SAN JOSÉ FUNDACIÓN LOYOLA,Secundaria,566416,0,0,0,0,0,0,0,0,0
COLEGIO SAN JOSÉ FUNDACIÓN LOYOLA,Profesorado,223669,0,0,0,0,0,0,0,0,0
IES PUÇOL ,Primaria,977343,0,0,0,0,0,0,0,0,0
IES PUÇOL ,Secundaria,884549,1041,634,407,0,0,0,0,0,0
IES PUÇOL ,Profesorado,413422,70,45,25,0,0,0,0,0,0
CP FRANCISCO FERNÁNDEZ GONZALEZ,Primaria,973518,18,17,1,0,0,0,0,0,0
CP FRANCISCO FERNÁNDEZ GONZALEZ,Secundaria,813981,0,0,0,0,0,0,0,0,0
CP FRANCISCO FERNÁNDEZ GONZALEZ,Profesorado,261254,1,1,0,0,0,0,0,0,0
CEIP LEÓN FELIPE,Primaria,987788,84,80,4,0,0,0,0,0,0
CEIP LEÓN FELIPE,Secundaria,662688,0,0,0,0,0,0,0,0,0
CEIP LEÓN FELIPE,Profesorado,956858,7,4,3,0,0,0,0,0,0
IES MANUEL SANCHIS GUARNER,Primaria,956551,0,0,0,0,0,0,0,0,0
IES MANUEL SANCHIS GUARNER,Secundaria,962678,329,274,55,0,0,0,0,0,0
IES MANUEL SANCHIS GUARNER,Profesorado,135378,22,12,10,0,0,0,0,0,0
COLEGIO MARISTAS CC VALLISOLETANO,Primaria,783595,136,72,64,0,0,0,0,0,0
COLEGIO MARISTAS CC VALLISOLETANO,Secundaria,414687,292,254,38,0,0,0,0,0,0
COLEGIO MARISTAS CC VALLISOLETANO,Profesorado,491678,57,33,24,0,0,0,0,0,0
CEIP AZAHAR,Primaria,763372,55,24,31,0,0,0,0,0,0
CEIP AZAHAR,Secundaria,811367,0,0,0,0,0,0,0,0,0
CEIP AZAHAR,Profesorado,854193,5,2,3,0,0,0,0,0,0
CEIP VICENTE BLASCO IBÁÑEZ,Primaria,899776,25,25,0,0,0,0,0,0,0
CEIP VICENTE BLASCO IBÁÑEZ,Secundaria,884194,0,0,0,0,0,0,0,0,0
CEIP VICENTE BLASCO IBÁÑEZ,Profesorado,952228,6,6,0,0,0,0,0,0,0
CEIP MIRALVALLE,Primaria,364149,78,71,7,0,0,0,0,0,0
CEIP MIRALVALLE,Secundaria,225675,0,0,0,0,0,0,0,0,0
CEIP MIRALVALLE,Profesorado,953578,2,0,2,0,0,0,0,0,0
COLEGIO NUESTRA SEÑORA DE LA PROVIDENCIA ,Primaria,787721,216,174,42,0,0,0,0,0,0
COLEGIO NUESTRA SEÑORA DE LA PROVIDENCIA ,Secundaria,348226,120,104,16,0,0,0,0,0,0
COLEGIO NUESTRA SEÑORA DE LA PROVIDENCIA ,Profesorado,169538,9,8,1,0,0,0,0,0,0
CPES OTEITZA LIZEOA,Primaria,545196,0,0,0,0,0,0,0,0,0
CPES OTEITZA LIZEOA,Secundaria,996175,75,42,33,0,0,0,0,0,0
CPES OTEITZA LIZEOA,Profesorado,596225,1,1,0,0,0,0,0,0,0
CEIP VALEDEMEMBRA,Primaria,499995,63,34,29,0,0,0,0,0,0
CEIP VALEDEMEMBRA,Secundaria,214173,0,0,0,0,0,0,0,0,0
CEIP VALEDEMEMBRA,Profesorado,834435,5,3,2,0,0,0,0,0,0
IES MAR AZUL,Primaria,485128,0,0,0,0,0,0,0,0,0
IES MAR AZUL,Secundaria,121525,195,112,83,0,0,0,0,0,1
IES MAR AZUL,Profesorado,122528,7,4,3,0,0,0,0,0,0
CEIP VIRGEN DE CRIPTANA,Primaria,797132,40,36,4,0,0,0,0,0,0
CEIP VIRGEN DE CRIPTANA,Secundaria,969597,0,0,0,0,0,0,0,0,0
CEIP VIRGEN DE CRIPTANA,Profesorado,535274,9,6,3,0,0,0,0,0,0
CEIP LOPE DE VEGA,Primaria,479792,164,124,40,0,0,0,0,0,0
CEIP LOPE DE VEGA,Secundaria,695956,0,0,0,0,0,0,0,0,0
CEIP LOPE DE VEGA,Profesorado,344548,5,4,1,0,0,0,0,0,0
IES SIETE COLINAS ,Primaria,592522,0,0,0,0,0,0,0,0,0
IES SIETE COLINAS ,Secundaria,417864,5,0,5,0,0,0,0,0,0
IES SIETE COLINAS ,Profesorado,825947,0,0,0,0,0,0,0,0,0
IES ABYLA,Primaria,811243,0,0,0,0,0,0,0,0,0
IES ABYLA,Secundaria,168262,292,211,81,0,0,0,0,0,0
IES ABYLA,Profesorado,267866,20,12,8,0,0,0,0,0,0
COLEGIO INTERNACIONAL KOLBE,Primaria,514679,112,70,42,0,0,0,0,0,0
COLEGIO INTERNACIONAL KOLBE,Secundaria,191569,315,266,49,0,0,0,0,0,0
COLEGIO INTERNACIONAL KOLBE,Profesorado,529616,28,15,13,0,0,0,0,0,0
CEIP CLARA CAMPOAMOR,Primaria,826267,90,89,1,0,0,0,0,0,0
CEIP CLARA CAMPOAMOR,Secundaria,836197,0,0,0,0,0,0,0,0,0
CEIP CLARA CAMPOAMOR,Profesorado,675474,1,1,0,0,0,0,0,0,0
CPEIP Larraga S. Miguel HLHIP,Primaria,262467,48,35,13,0,0,0,0,0,0
CPEIP Larraga S. Miguel HLHIP,Secundaria,295816,0,0,0,0,0,0,0,0,0
CPEIP Larraga S. Miguel HLHIP,Profesorado,478942,8,4,4,0,0,0,0,0,0
CPEIP AZPILAGAÑA ,Primaria,495512,58,45,13,0,0,0,0,0,0
CPEIP AZPILAGAÑA ,Secundaria,228293,0,0,0,0,0,0,0,0,0
CPEIP AZPILAGAÑA ,Profesorado,152872,21,14,7,0,0,0,0,0,0
CEIP PRÍNCIPE DE ASTURIAS,Primaria,312545,49,47,2,0,0,0,0,0,0
CEIP PRÍNCIPE DE ASTURIAS,Secundaria,679315,0,0,0,0,0,0,0,0,0
CEIP PRÍNCIPE DE ASTURIAS,Profesorado,912212,11,8,3,0,0,0,0,0,0
CPEIPS SANTA MARÍA IKASTETXEA,Primaria,473599,185,158,27,0,0,0,0,0,0
CPEIPS SANTA MARÍA IKASTETXEA,Secundaria,583423,112,82,30,0,0,0,0,0,0
CPEIPS SANTA MARÍA IKASTETXEA,Profesorado,323896,6,6,0,0,0,0,0,0,0
IES Botikazar BHI,Primaria,322275,0,0,0,0,0,0,0,0,0
IES Botikazar BHI,Secundaria,781826,396,303,93,0,0,0,0,0,0
IES Botikazar BHI,Profesorado,487662,25,4,21,0,0,0,0,0,0
CRA ALCIARES,Primaria,521585,50,28,22,0,0,0,0,0,0
CRA ALCIARES,Secundaria,567754,0,0,0,0,0,0,0,0,0
CRA ALCIARES,Profesorado,855543,14,12,2,0,0,0,0,0,0
IES IZPISÚA BELMONTE ,Primaria,112446,1,0,1,0,0,0,0,0,0
IES IZPISÚA BELMONTE ,Secundaria,451812,431,323,108,0,0,0,0,0,0
IES IZPISÚA BELMONTE ,Profesorado,183326,53,37,16,0,0,0,0,0,0
COLEGIO SAN AGUSTÍN,Primaria,225924,235,124,111,0,0,0,0,0,0
COLEGIO SAN AGUSTÍN,Secundaria,118179,777,321,456,0,1,0,0,0,0
COLEGIO SAN AGUSTÍN,Profesorado,133473,39,27,12,0,0,0,0,0,0
CEIP REINA SOFÍA,Primaria,534639,0,0,0,0,0,0,0,0,0
CEIP REINA SOFÍA,Secundaria,696183,0,0,0,0,0,0,0,0,0
CEIP REINA SOFÍA,Profesorado,137392,6,3,3,0,0,0,0,0,0
 IES SENARA,Primaria,838298,0,0,0,0,0,0,0,0,0
 IES SENARA,Secundaria,141981,0,0,0,0,0,0,0,0,0
